parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
27101:003:0441,2.5967,geometry,capped_to_land_area,412.169381,15772.814765,5.0,comparable,
27101:003:0442,7.6415,geometry,capped_to_land_area,412.169381,5293.828188,5.0,comparable,
27101:003:0443,1.63,attribute:mets,reported_m2,412.169381,25186.465092,5.0,comparable,
27101:003:0451,1.2424,attribute:mets,reported_m2,412.169381,33075.256037,5.0,comparable,
27101:003:0452,15.8685,geometry,capped_to_land_area,412.169381,2497.406062,5.0,comparable,
27101:003:0461,3.1982,attribute:mets,reported_m2,412.169381,12787.542399,5.0,comparable,
27101:003:0462,5.3783,attribute:mets,reported_m2,412.169381,7563.562483,5.0,comparable,
27101:003:0463,3.1001,attribute:mets,reported_m2,412.169381,13195.357601,5.0,comparable,
27101:003:0470,3.8737,attribute:mets,reported_m2,412.169381,10540.198802,5.0,comparable,
27101:003:0471,1.0048,attribute:mets,reported_m2,412.169381,40920.041899,5.0,comparable,
27101:003:0472,4.1122,attribute:mets,reported_m2,412.169381,9923.086936,5.0,comparable,
27101:003:0491,15.631,geometry,capped_to_land_area,412.169381,2536.87148,5.0,comparable,
27101:003:0504,2.8942,attribute:mets,reported_m2,412.169381,14141.219715,5.0,comparable,
27101:003:0514,6.3805,attribute:mets,reported_m2,412.169381,6359.828869,5.0,comparable,
27101:003:0515,5.3499,attribute:mets,reported_m2,412.169381,7604.244584,5.0,comparable,
27101:003:0521,8.9051,attribute:mets,reported_m2,412.169381,4528.464374,5.0,comparable,
27101:003:0531,12.7272,attribute:mets,reported_m2,412.169381,3138.492214,5.0,comparable,
27101:003:0541,0.9392,geometry,capped_to_land_area,412.169381,43785.155558,5.0,comparable,
27101:003:0542,13.4161,geometry,capped_to_land_area,412.169381,2972.199678,5.0,comparable,
27101:003:0554,2.6926,attribute:mets,reported_m2,412.169381,15207.486481,5.0,comparable,
27101:003:0570,0.5535,geometry,capped_to_land_area,412.169381,74366.012827,5.0,comparable,
27101:003:0580,0.7708,geometry,capped_to_land_area,412.169381,53372.934743,5.0,comparable,
27101:003:0596,3.3324,attribute:mets,reported_m2,412.169381,12268.544622,5.0,comparable,
27101:003:0602,12.1444,geometry,capped_to_land_area,412.169381,3293.904853,5.0,comparable,
27101:003:0603,0.3169,attribute:mets,reported_m2,412.169381,129962.916062,5.0,comparable,
27101:003:0611,7.8501,geometry,capped_to_land_area,412.169381,5150.498478,5.0,comparable,
27101:003:0612,9.6032,attribute:mets,reported_m2,412.169381,4192.000385,5.0,comparable,
27101:003:0622,4.2484,attribute:mets,reported_m2,412.169381,9601.755508,5.0,comparable,
27101:003:0640,19.2044,geometry,capped_to_land_area,412.169381,2046.223683,5.0,comparable,
27101:003:0651,2.0417,attribute:mets,reported_m2,412.169381,20087.558456,5.0,comparable,
27101:003:0652,5.455,attribute:mets,reported_m2,412.169381,7455.809001,5.0,comparable,
27101:003:0661,0.1045,attribute:mets,reported_m2,412.169381,394320.460287,5.0,comparable,
27101:003:0675,3.5397,attribute:mets,reported_m2,412.169381,11544.189649,5.0,comparable,
27101:003:0702,14.6448,geometry,capped_to_land_area,412.169381,2714.441856,5.0,comparable,
27101:003:0711,12.1619,geometry,capped_to_land_area,412.169381,3289.021296,5.0,comparable,
27101:003:0712,8.902,attribute:mets,reported_m2,412.169381,4530.076174,5.0,comparable,
27101:003:0720,21.2667,attribute:mets,reported_m2,412.169381,1838.0975,5.0,comparable,
27101:003:0740,4.8125,geometry,capped_to_land_area,412.169381,8464.558566,5.0,comparable,
27101:003:0750,0.2968,attribute:mets,reported_m2,412.169381,138771.085243,5.0,comparable,
27101:003:0751,0.5658,geometry,capped_to_land_area,412.169381,72747.186462,5.0,comparable,
27101:003:0752,1.6873,geometry,capped_to_land_area,412.169381,24327.747348,5.0,comparable,
27101:003:0760,2.0109,geometry,capped_to_land_area,412.169381,20396.761699,5.0,comparable,
27101:003:0772,5.547,geometry,capped_to_land_area,412.169381,7330.491815,5.0,comparable,
27101:003:0780,4.8277,geometry,capped_to_land_area,412.169381,8437.593077,5.0,comparable,
27101:003:0793,3.9725,attribute:mets,reported_m2,412.169381,10275.566545,5.0,comparable,
27101:003:0802,13.1462,geometry,capped_to_land_area,412.169381,3035.273927,5.0,comparable,
27101:003:0810,2.1057,geometry,capped_to_land_area,412.169381,19473.983996,5.0,comparable,
27101:003:0841,3.4265,attribute:mets,reported_m2,412.169381,11928.874391,5.0,comparable,
27101:003:0842,5.9481,attribute:mets,reported_m2,412.169381,6829.429246,5.0,comparable,
27101:003:0843,3.0088,attribute:mets,reported_m2,412.169381,13598.796231,5.0,comparable,
27101:003:0850,2.8885,geometry,capped_to_land_area,412.169381,14169.32252,5.0,comparable,
27101:003:0861,0.2859,geometry,capped_to_land_area,412.169381,144065.575726,5.0,comparable,
27101:003:0862,9.8785,geometry,capped_to_land_area,412.169381,4072.388328,5.0,comparable,
27101:003:0881,6.0388,geometry,capped_to_land_area,412.169381,6725.352404,5.0,comparable,
27101:003:0882,6.2822,geometry,capped_to_land_area,412.169381,6460.908296,5.0,comparable,
27101:003:0910,0.2621,attribute:mets,reported_m2,412.169381,157156.536055,5.0,comparable,
27101:003:0920,0.3418,geometry,capped_to_land_area,412.169381,120487.882095,5.0,comparable,
27101:003:0940,7.8275,geometry,capped_to_land_area,412.169381,5165.658013,5.0,comparable,
27101:003:0951,21.7746,attribute:mets,reported_m2,412.169381,1792.890712,5.0,comparable,
27101:003:0952,9.6912,attribute:mets,reported_m2,412.169381,4153.027293,5.0,comparable,
27101:003:0961,4.4232,attribute:mets,reported_m2,412.169381,9218.352799,5.0,comparable,
27101:003:0962,2.1957,attribute:mets,reported_m2,412.169381,18671.66193,5.0,comparable,
27101:003:0963,0.0066,attribute:mets,reported_m2,412.169381,6244890.621212,5.0,comparable,
27101:003:0964,0.1412,attribute:mets,reported_m2,412.169381,291804.660765,5.0,comparable,
27101:003:0965,1.5663,attribute:mets,reported_m2,412.169381,26214.842687,5.0,comparable,
27101:003:0971,12.1755,attribute:mets,reported_m2,412.169381,3285.235769,5.0,comparable,
27101:003:0972,25.7593,geometry,capped_to_land_area,412.169381,1500.079897,5.0,comparable,
27101:003:0973,56.0464,geometry,capped_to_land_area,412.169381,635.407414,5.0,comparable,
27101:003:0990,0.7453,attribute:mets,reported_m2,412.169381,55202.479673,5.0,comparable,
27101:003:1012,13.4043,geometry,capped_to_land_area,412.169381,2974.90418,5.0,comparable,
27101:003:1021,6.8637,geometry,capped_to_land_area,412.169381,5905.061133,5.0,comparable,
27101:003:1082,4.6219,attribute:mets,reported_m2,412.169381,8817.747701,5.0,comparable,
27101:003:1090,4.5849,geometry,capped_to_land_area,412.169381,8889.713647,5.0,comparable,
27101:003:1101,8.7568,attribute:mets,reported_m2,412.169381,4606.849317,5.0,comparable,
27101:003:1102,4.0054,attribute:mets,reported_m2,412.169381,10190.342563,5.0,comparable,
27101:003:1112,4.1779,attribute:mets,reported_m2,412.169381,9765.467843,5.0,comparable,
27101:003:1140,3.5552,geometry,capped_to_land_area,412.169381,11493.423183,5.0,comparable,
27101:003:1150,13.3969,geometry,capped_to_land_area,412.169381,2976.602654,5.0,comparable,
27101:003:1160,0.367,geometry,capped_to_land_area,412.169381,112207.733243,5.0,comparable,
27101:003:1170,6.1661,geometry,capped_to_land_area,412.169381,6584.442046,5.0,comparable,
27101:003:1181,23.5685,geometry,capped_to_land_area,412.169381,1648.814651,5.0,comparable,
27101:003:1190,2.8978,geometry,capped_to_land_area,412.169381,14123.527538,5.0,comparable,
27101:003:1200,4.1729,geometry,capped_to_land_area,412.169381,9777.28872,5.0,comparable,
27101:003:1221,0.0964,attribute:mets,reported_m2,412.169381,427461.598548,5.0,comparable,
27101:003:1222,7.3998,geometry,capped_to_land_area,412.169381,5470.007041,5.0,comparable,
27101:003:1223,9.4612,geometry,capped_to_land_area,412.169381,4256.41759,5.0,comparable,
27101:003:1241,23.5417,geometry,capped_to_land_area,412.169381,1650.805511,5.0,comparable,
27101:003:1242,4.8808,attribute:mets,reported_m2,412.169381,8344.709494,5.0,comparable,
27101:003:1250,2.1689,attribute:mets,reported_m2,412.169381,18903.61386,5.0,comparable,
27101:003:1272,4.9496,attribute:mets,reported_m2,412.169381,8227.327077,5.0,comparable,
27101:003:1290,20.4419,attribute:mets,reported_m2,412.169381,1916.296827,5.0,comparable,
27101:003:1302,3.3565,attribute:mets,reported_m2,412.169381,12179.737256,5.0,comparable,
27101:003:1311,11.79,geometry,capped_to_land_area,412.169381,3395.923503,5.0,comparable,
27101:003:1312,5.4334,attribute:mets,reported_m2,412.169381,7485.84645,5.0,comparable,
27101:003:1320,2.0813,geometry,capped_to_land_area,412.169381,19703.458463,5.0,comparable,
27101:003:1340,20.0091,attribute:mets,reported_m2,412.169381,1959.909646,5.0,comparable,
27101:003:1350,0.7138,attribute:mets,reported_m2,412.169381,57642.978565,5.0,comparable,
27101:003:1362,14.0532,geometry,capped_to_land_area,412.169381,2832.921904,5.0,comparable,
27101:003:1380,5.5486,geometry,capped_to_land_area,412.169381,7328.349151,5.0,comparable,
27101:003:1390,0.241188,geometry,geodesic_wgs84_pyproj,412.169381,170791.33,5.0,comparable,
27101:003:1400,0.2722,geometry,capped_to_land_area,412.169381,151321.521308,5.0,comparable,
27101:003:1420,0.2961,geometry,capped_to_land_area,412.169381,139099.385681,5.0,comparable,
27101:003:1440,0.099796,geometry,geodesic_wgs84_pyproj,412.169381,412911.925328,5.0,comparable,
27101:003:1450,0.019,attribute:mets,reported_m2,412.169381,2169212.531579,5.0,comparable,
27101:003:1480,0.3359,geometry,capped_to_land_area,412.169381,122605.978267,5.0,comparable,
27101:003:1490,0.3077,geometry,capped_to_land_area,412.169381,133851.700032,5.0,comparable,
27101:003:1500,0.2587,geometry,capped_to_land_area,412.169381,159223.301508,5.0,comparable,
27101:003:1510,0.3795,geometry,capped_to_land_area,412.169381,108508.532543,5.0,comparable,
27101:003:1520,0.427,geometry,capped_to_land_area,412.169381,96426.787119,5.0,comparable,
27101:003:1530,0.2152,geometry,capped_to_land_area,412.169381,191428.52277,5.0,comparable,
27101:003:1540,0.7691,geometry,capped_to_land_area,412.169381,53491.130022,5.0,comparable,
27101:003:1550,0.3561,geometry,capped_to_land_area,412.169381,115645.403258,5.0,comparable,
